"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 26 17:43:44 MSK 2021","Sun Dec 26 17:43:46 MSK 2021","2152","Default Suite","sber_tz","ru.bulkashmak.ApiTest","ru.bulkashmak.ApiTest","simpleTest","Позитивный сценарий создания пользователя",""
"passed","Sun Dec 26 17:33:28 MSK 2021","Sun Dec 26 17:33:30 MSK 2021","1954","Default Suite","sber_tz","ru.bulkashmak.ApiTest","ru.bulkashmak.ApiTest","simpleTest","Позитивный сценарий создания пользователя",""
